"Taste","Texture","Crust","Temperature","Humidity","BakeTime","Proof1","Proof2","Coating","Oil","Egg","PctLiquid","BakeTemp","DayOfYear"
5,7,8,24.5,31.6,50,2.5,30,0.1,20,0,70,177,21
6,8,8,21.8,29.3,40,1.5,90,0.2,20,1,60,165,65
6,9,9,20.2,28.2,40,3,45,0.3,30,0,70,165,3
4,8,7,20.9,26,30,2,60,0.5,0,1,80,177,24
6,8,5,25.7,25,45,3,15,0.1,40,2,60,177,52
6,8,8,21.7,28.9,50,2,45,0.2,0,1,80,200,85
5,8,7,21.4,24.9,45,1.5,75,0.1,40,1,80,200,27
6,8,8,18.7,30.4,30,1,90,0.5,20,1,70,165,75
6,7,7,21,32.9,30,1.5,90,0.4,0,1,60,190,58
5,8,9,22,29.9,40,3,90,0.5,0,1,80,165,40
6,7,7,22.2,26.4,35,1.5,75,0.4,20,0,70,200,33
4,8,5,18.9,35.2,30,2.5,45,0.1,0,2,80,165,66
5,7,7,18.8,26.6,50,2.5,45,0.3,20,0,80,190,77
5,7,7,23.6,32.5,45,1,60,0.2,30,0,60,190,21
7,8,7,18.1,28.5,40,3,90,0.3,40,2,60,177,91
4,8,7,20.2,26.7,45,3,30,0.2,20,0,70,190,54
7,7,9,22.1,27.4,30,1.5,75,0.4,40,0,70,190,72
4,10,8,21.2,28,50,1,75,0.4,30,0,70,165,71
5,7,8,24.6,32.9,45,2,90,0.5,20,1,60,177,64
5,8,8,19.8,28.5,50,2,30,0.2,20,2,80,165,22
9,7,7,24.3,31.8,30,2,90,0.1,20,2,80,177,58
6,7,7,18.6,26.7,35,1.5,60,0.2,0,1,80,190,35
6,6,5,19.3,27.6,30,3,30,0.1,0,1,70,177,56
6,6,6,21.5,25.1,40,1.5,90,0.3,20,1,80,190,38
8,7,8,18.7,28.1,40,1,90,0.2,0,2,60,200,86
4,8,8,22.4,27.7,40,1.5,45,0.3,40,0,80,165,64
4,8,8,21.4,31.1,35,3,75,0.1,0,0,70,190,20
5,8,8,22.5,28.4,30,1,15,0.2,30,0,80,177,22
7,7,8,23.6,26.9,40,3,60,0.4,40,0,60,190,61
8,8,8,22.9,29.1,40,2.5,60,0.2,40,0,80,200,42
5,7,8,22.6,28.2,30,2.5,60,0.3,0,1,60,177,73
7,8,8,19.2,29.6,30,2.5,75,0.1,40,2,70,190,28
6,7,5,23.1,41.2,50,3,15,0.4,20,0,80,165,47
5,7,7,22.4,32,40,1.5,30,0.4,30,2,70,190,60
6,8,7,22.9,26.5,40,2.5,15,0.1,20,1,70,200,1
7,9,8,20.2,29.2,30,2.5,60,0.2,0,1,70,200,66
8,9,8,20.1,29.5,30,3,45,0.4,30,2,70,190,56
6,8,7,20.1,25.5,30,2.5,75,0.2,30,2,60,165,55
8,7,8,18.3,29.9,45,1,30,0.5,40,2,70,200,59
6,8,6,21.4,38,45,2,75,0.4,0,1,80,177,25
6,7,8,22.2,30.4,45,2,75,0.1,0,2,80,165,25
6,8,7,20.7,32.3,35,3,15,0.3,0,0,80,190,57
7,7,7,20.4,25.5,35,3,30,0.3,30,0,80,177,43
4,7,8,21.7,29.2,45,1,90,0.2,0,0,80,177,31
6,8,6,21.2,35.4,50,1.5,75,0.1,0,1,60,200,25
7,7,9,17.7,31,45,1.5,45,0.4,30,1,70,200,59
8,9,7,24.2,31.9,45,2.5,90,0.1,40,2,80,190,30
6,7,8,21.9,32.9,35,2,30,0.4,30,0,80,190,18
5,7,8,19.8,30.2,35,1.5,60,0.3,30,1,70,177,45
5,9,8,22.8,30,40,1.5,30,0.3,40,1,60,165,57
3,6,8,18.2,28.4,45,1,15,0.3,0,1,60,177,14
7,8,9,21.6,32.1,45,3,75,0.3,30,0,60,190,25
4,8,8,22.8,30.9,45,1.5,30,0.1,30,0,60,190,61
5,8,8,22,27.1,50,3,15,0.4,0,0,70,190,85
6,8,7,22.3,28.1,30,1,60,0.1,40,0,60,177,39
7,9,8,19.4,29.1,30,2.5,60,0.2,20,0,80,200,53
6,7,6,18.1,27.8,50,1,15,0.1,0,2,60,190,21
5,9,7,21.4,33.4,40,3,15,0.2,40,0,70,190,24
7,9,7,20.4,26.8,40,2,45,0.5,30,2,60,200,36
7,9,8,20.9,30,30,3,30,0.4,40,2,80,190,12
7,8,6,22.1,33.5,30,3,15,0.4,20,2,60,200,16
4,8,6,24.2,23.2,35,1.5,15,0.5,30,0,80,190,43
5,8,7,20,29.4,30,1.5,30,0.2,20,2,60,200,89
5,8,7,20,30.8,30,1,75,0.2,20,1,60,200,43
5,8,7,20.4,23.4,45,2.5,90,0.5,30,0,80,177,31
7,7,7,24.3,27.1,40,1.5,15,0.3,0,1,70,177,83
6,7,6,20.6,25.1,40,2,15,0.1,0,1,60,200,52
8,9,8,18.1,30.1,45,3,90,0.1,30,2,60,200,81
6,8,7,21.8,27.1,50,3,45,0.5,0,0,60,200,75
8,8,8,20,31.5,40,1.5,30,0.5,40,2,70,165,68
9,7,7,19,26.5,40,2.5,60,0.3,30,1,70,165,16
7,8,8,21.8,27.8,35,1,90,0.5,30,1,70,190,52
4,8,7,20.6,27.7,30,1.5,30,0.3,0,2,70,200,34
5,7,8,21.1,28.8,50,1.5,45,0.1,20,0,60,177,61
9,7,7,23.5,25.6,35,3,30,0.2,40,2,80,177,44
7,8,5,24.3,40.9,35,2,45,0.4,30,2,60,200,47
6,8,8,22.4,32.8,30,1,90,0.3,40,0,60,165,45
6,7,8,21.2,32,40,3,30,0.5,0,1,80,165,81
5,8,6,18.7,24.7,40,1,45,0.3,40,0,60,177,6
8,7,7,22.7,31.9,40,3,75,0.1,0,2,60,177,53
6,8,8,19.4,27.6,50,3,75,0.3,0,0,80,177,50
7,7,6,20.1,31.9,40,2,15,0.1,40,2,80,165,6
8,7,9,20.4,29.3,35,1,30,0.5,40,2,60,200,50
5,9,8,21.4,27.3,40,1,90,0.4,0,0,60,200,39
5,8,7,19.9,28.1,45,1,15,0.2,40,0,80,200,46
4,7,6,19.9,27,40,2.5,60,0.2,0,1,60,165,26
3,7,8,19.3,28.9,35,1,15,0.2,0,0,70,190,20
5,9,8,21.3,28,40,1.5,60,0.5,20,0,80,177,80
8,8,7,18.6,25.4,50,3,90,0.3,30,1,80,165,11
5,8,7,21.8,27.3,30,1.5,90,0.1,40,1,60,190,17
5,7,7,20.9,32.1,50,1,75,0.5,0,0,70,165,43
6,8,9,20.8,32.4,30,2.5,45,0.4,20,0,70,200,30
7,8,7,23.3,27.4,50,1.5,30,0.1,30,0,80,200,2
4,9,8,20.3,30.9,35,3,30,0.2,40,0,60,177,81
10,7,7,19.4,34.6,50,3,30,0.4,40,2,80,190,19
6,6,7,24.3,24.9,45,1,30,0.1,0,1,60,200,88
6,7,7,24.8,31,30,2,15,0.2,0,1,80,190,72
7,7,8,22.9,31.8,35,2,75,0.5,30,2,70,165,27
8,9,7,23.2,32.7,40,3,60,0.2,40,1,60,190,87
7,7,7,23.6,36.5,50,2.5,15,0.1,20,0,70,177,66
7,7,9,21,28.1,35,2,90,0.4,0,1,70,200,79
6,7,9,22.5,28.2,45,1.5,60,0.5,40,1,60,200,19
6,7,8,18.9,30.8,35,2.5,15,0.2,20,1,80,165,46
7,6,8,23.3,34,30,1,90,0.5,30,1,70,200,45
5,9,8,20.8,29.9,35,2.5,75,0.3,0,1,80,200,11
6,8,6,19.5,33.8,35,2.5,30,0.4,30,2,70,200,11
6,7,8,23.3,30.1,50,1,90,0.3,30,2,80,165,15
8,8,7,20.4,33.3,45,2.5,30,0.4,30,2,80,177,4
8,9,6,18.4,35.1,30,2,75,0.1,40,1,80,190,86
6,9,8,19.9,30,45,1.5,15,0.4,40,2,60,177,78
4,8,8,20.7,33.2,35,2,30,0.2,30,0,80,200,3
4,8,8,22.1,26.6,35,1,15,0.2,30,1,70,200,66
4,6,8,19.2,27.2,40,1.5,45,0.3,20,0,60,190,73
7,7,7,22.7,26.9,40,2.5,60,0.4,30,1,60,177,57
6,8,8,22.3,29.5,35,2.5,75,0.1,30,0,60,200,61
6,7,9,22,31.2,30,1.5,30,0.4,30,0,80,165,57
7,7,6,21.8,26.8,35,2.5,75,0.1,20,2,60,200,77
7,7,7,22.3,26.8,35,3,75,0.1,20,0,80,177,83
6,7,8,21.6,31.4,50,1.5,30,0.5,20,1,60,190,1
6,7,8,20.6,28,35,1.5,75,0.5,20,1,70,165,74
6,8,7,22.2,25.4,30,2,15,0.3,40,1,60,177,53
4,7,9,20.5,30.9,35,1,15,0.4,30,1,80,200,57
5,8,5,17.2,22.9,45,3,30,0.1,40,0,60,177,81
4,7,8,23.7,28.8,50,1,15,0.1,30,1,80,165,19
4,9,10,18.2,30.7,30,2,75,0.5,30,0,70,177,56
7,8,6,21.1,34.1,50,2.5,75,0.2,20,1,70,177,55
5,8,8,18.7,29.6,40,2.5,90,0.4,0,0,80,190,75
7,8,8,19.4,29.9,35,3,15,0.3,20,2,60,190,72
5,8,8,24.3,27.4,35,1,30,0.3,40,1,70,165,49
5,7,7,22.9,28.1,35,1.5,15,0.4,20,1,80,200,15
6,7,7,24.1,27.1,50,2,15,0.5,30,2,70,165,62
6,8,8,21.1,29.1,50,1,60,0.2,20,2,60,200,4
8,7,8,18.7,31.1,30,3,90,0.4,40,1,70,190,67
5,7,8,19.8,31.2,35,3,30,0.2,20,0,60,190,12
7,8,7,23.2,27.5,50,1,60,0.1,40,2,80,165,19
6,8,6,20,23.9,45,1,30,0.1,40,0,70,177,39
6,9,8,22.1,31.1,45,1.5,15,0.2,40,1,70,190,35
4,6,6,17.7,23.9,50,2,90,0.4,0,1,70,177,66
7,8,8,21.4,32.5,35,2,45,0.3,20,1,60,165,24
9,9,7,20.1,26.8,45,3,75,0.1,30,0,80,190,44
5,7,7,21.2,26.1,50,1,75,0.4,0,1,80,200,18
7,9,8,21.1,26.5,35,1.5,90,0.2,40,0,70,177,21
6,7,7,21,35.2,50,2.5,60,0.5,30,1,60,177,8
7,8,6,23.5,34.8,30,2,90,0.3,40,2,60,165,4
7,7,7,23.8,35.2,35,2,30,0.4,20,2,70,200,58
7,7,8,15.6,31.3,50,1.5,60,0.4,20,1,80,190,8
8,7,7,21.9,33.1,45,1.5,30,0.4,30,2,80,177,89
9,7,9,23.3,29.8,30,2,90,0.5,30,1,70,200,12
5,9,8,20.1,27.3,35,1,30,0.5,20,0,70,177,16
6,8,8,22.2,30.1,30,3,45,0.5,0,1,80,165,88
7,6,5,25.1,26.8,35,2.5,45,0.1,30,2,60,177,62
6,9,7,22,30.6,30,2,60,0.4,40,2,80,165,65
6,7,7,21.5,31.3,50,2,30,0.4,20,1,70,190,48
7,7,8,21.9,35.1,45,3,30,0.3,40,0,80,165,34
4,7,7,22,28.2,35,2.5,30,0.4,0,0,80,200,84
6,7,8,24.1,30.1,30,2,30,0.3,20,1,80,165,21
3,7,7,21.3,30,40,2,15,0.3,0,1,70,200,59
4,8,8,19.9,25.8,40,2,45,0.4,40,0,60,177,69
8,8,8,21.7,28.7,45,1,75,0.3,40,0,60,190,86
7,6,7,17.7,33.1,45,2,60,0.5,0,2,80,165,45
4,8,8,21.4,30.7,40,1,15,0.2,30,0,60,190,66
3,8,8,19.7,32.8,50,2.5,15,0.4,40,0,60,200,17
7,7,8,22.4,28.2,30,2.5,30,0.4,30,2,80,177,85
5,9,7,20.6,25.6,30,1,75,0.4,20,0,60,165,52
3,7,8,22.1,31.7,35,3,45,0.2,30,0,70,177,72
5,8,6,20.4,36.5,40,1,45,0.2,30,0,80,190,9
6,8,7,20.8,25.3,40,2.5,75,0.4,30,1,70,190,41
5,8,7,21,26.2,40,2,15,0.3,20,0,80,190,82
6,7,8,18.8,30.6,50,2.5,90,0.3,30,2,80,200,71
5,6,8,23.2,30,40,3,15,0.5,0,1,60,190,82
8,7,7,22.1,28.4,35,1.5,60,0.5,0,2,80,165,90
6,8,9,21.8,29.9,50,1,60,0.4,40,0,70,165,17
6,8,7,20.1,29.4,35,1.5,15,0.1,0,2,80,165,43
5,8,8,21,29.3,30,1,60,0.2,0,0,60,177,66
6,8,9,19.5,29.4,30,1.5,75,0.3,40,1,80,200,5
5,9,6,21.4,34.3,45,3,90,0.3,20,0,70,165,62
7,8,8,24.2,28.2,50,1.5,60,0.5,40,2,70,200,73
6,6,7,17.6,26.7,30,1.5,90,0.2,0,0,80,165,67
7,8,8,22.4,29.6,50,2.5,15,0.1,40,1,80,190,43
6,7,8,21.8,30.3,50,3,30,0.2,30,1,60,190,23
6,6,7,25.5,36.3,45,1,90,0.4,0,0,60,190,47
6,10,7,21.3,32.9,45,1.5,15,0.1,40,1,70,190,65
5,6,7,16.2,28.9,45,2.5,15,0.1,0,0,80,165,81
5,5,7,23.3,29.2,35,3,45,0.4,0,1,70,177,72
8,7,6,19.1,32.6,35,1.5,45,0.2,20,2,70,165,14
5,7,9,23.9,28.4,30,3,15,0.3,0,0,70,190,65
6,6,7,17,30.1,40,1,30,0.1,0,1,60,165,70
8,8,6,20.4,34.4,50,2,45,0.3,20,2,80,165,52
7,8,9,20.6,30.3,50,2.5,45,0.5,40,2,60,190,60
7,8,6,19.3,27.4,40,1,75,0.3,40,2,60,165,65
7,7,6,23.6,26.1,40,2.5,15,0.1,40,2,70,200,64
7,9,9,21.3,30.1,30,3,15,0.3,30,0,70,190,83
7,8,7,18,26.7,40,2,60,0.5,30,2,70,190,25
8,7,7,22.2,30.6,50,2,90,0.1,20,2,70,177,53
6,7,6,22.3,27,40,1.5,75,0.2,20,0,60,165,44
6,8,8,21,27.5,35,1,15,0.3,40,1,70,200,30
7,6,8,17.3,29.7,40,2,45,0.5,20,2,70,200,35
6,8,8,21,29.3,35,2,60,0.1,40,0,70,200,35
6,7,8,19.7,33.2,45,2,15,0.3,40,1,70,177,7
8,7,8,21.7,29.3,30,3,15,0.5,30,2,60,190,42
6,8,7,24.2,35.8,45,2,30,0.5,40,0,60,190,38
7,8,4,21.3,20.5,45,2,45,0.5,20,2,80,165,42
7,7,7,19.7,30.3,45,1,75,0.1,40,2,60,165,23
6,8,7,23.7,25.8,45,2.5,30,0.1,40,1,80,190,40
6,6,8,17.4,28.1,45,2.5,60,0.1,0,0,70,200,6
8,10,7,20.3,26.3,45,2.5,45,0.1,40,2,80,190,76
4,6,8,22.9,34.4,30,3,30,0.3,30,0,60,200,60
6,8,9,19.4,31,45,3,60,0.3,20,1,70,190,52
7,6,8,20.6,33.5,45,2.5,45,0.3,30,0,70,177,51
5,8,9,16.3,30.3,35,1,15,0.5,40,0,80,200,76
6,9,7,21.3,37.1,45,1.5,15,0.4,40,0,60,200,32
4,8,7,21.1,27.9,40,1,45,0.5,20,1,80,165,59
5,8,8,18.2,30.2,45,2.5,60,0.2,30,0,60,177,92
7,9,9,21.5,30.8,45,3,75,0.5,40,0,60,177,13
6,7,7,21.5,28.8,50,3,30,0.1,0,2,80,165,45
6,6,9,22.8,30,45,3,15,0.4,0,0,60,190,17
6,8,8,20.1,27,50,3,60,0.5,30,0,80,165,91
5,9,8,23.1,30.2,40,2.5,75,0.4,0,0,80,165,27
4,7,8,17.9,27.4,30,1.5,15,0.5,20,0,70,177,66
8,8,8,21.8,31.7,30,2.5,15,0.5,40,1,60,190,64
9,9,8,19.2,26.6,30,2.5,15,0.3,40,2,80,190,73
8,7,6,21.9,27.2,40,3,90,0.1,30,2,80,177,60
6,8,8,21.2,28.8,50,2.5,60,0.4,30,1,80,165,66
7,9,7,21.8,28.9,50,2.5,90,0.3,40,2,60,165,90
6,8,7,23.8,31.4,50,2.5,75,0.3,40,2,60,177,81
7,6,7,18.8,32,30,3,45,0.3,30,2,70,200,49
7,7,7,18.8,30,45,1,30,0.1,0,2,60,200,23
5,7,8,18,33.5,40,2.5,60,0.4,30,0,80,165,76
8,7,6,24.6,25.1,50,1,75,0.1,20,2,60,200,46
6,8,7,19.5,27.5,45,1.5,45,0.1,0,1,60,200,92
7,8,8,21.1,30.6,45,2,75,0.5,30,0,60,165,18
6,7,9,25.6,28.2,45,1,75,0.4,20,0,80,165,33
6,8,7,21.4,23.4,45,3,45,0.5,40,1,60,177,29
6,8,9,19.1,29,40,2,30,0.1,30,0,60,177,75
8,7,7,22,30,35,1,90,0.2,30,2,70,165,12
7,8,7,20,28.9,35,3,90,0.5,30,2,80,177,80
5,7,7,18.4,28.1,30,1.5,45,0.4,20,0,80,177,46
7,7,7,22.2,31.6,30,3,60,0.1,0,2,70,200,18
5,8,7,22.3,28.1,40,2.5,30,0.1,20,1,70,190,62
6,8,9,23,27.2,40,1.5,60,0.4,30,1,60,200,15
8,7,7,21.3,31.9,40,3,90,0.3,30,2,70,190,93
6,8,8,22.4,29.8,30,2.5,30,0.2,40,1,70,200,25
5,6,8,22.1,29.6,45,3,90,0.2,0,1,60,177,64
8,9,8,18.7,28.8,45,2.5,90,0.5,40,2,60,177,25
5,6,7,19.2,27.6,30,2.5,90,0.4,0,1,80,200,42
7,9,6,21.5,33.8,45,2,45,0.4,30,2,70,190,35
7,7,6,22.2,23.3,50,2.5,90,0.4,40,2,80,165,51
5,9,8,19.6,31.4,40,2,75,0.3,0,0,80,190,65
8,6,9,19.6,29.7,50,2.5,90,0.4,20,0,80,190,16
5,7,8,21.5,32.1,50,1.5,90,0.5,20,1,80,177,69
7,7,7,22.8,27,45,2.5,15,0.5,20,2,60,177,74
8,7,8,23.8,29.4,40,1,90,0.3,40,2,80,177,77
8,7,7,20.3,27.6,30,3,90,0.1,30,1,70,190,3
5,6,9,23.2,30.7,35,2,60,0.4,20,0,60,165,14
6,8,9,19.6,29.8,45,1.5,15,0.5,40,1,70,200,42
8,7,8,19.6,29.5,40,1,60,0.3,0,2,80,165,57
6,8,7,21.8,27.9,45,2,60,0.4,20,2,80,165,86
3,8,8,23.5,28.8,40,1,15,0.1,0,0,80,177,26
8,4,7,29.5,25.7,40,2.5,45,0.4,30,2,70,200,67
6,9,9,22.6,29.9,50,2,30,0.4,40,0,60,177,52
5,8,7,22.8,28.8,30,3,60,0.1,0,0,70,165,19
5,9,8,20.4,31.6,30,1,60,0.5,20,2,60,177,3
6,8,6,26.4,32.7,40,1,60,0.2,40,2,60,200,32
7,7,9,23.6,30.1,40,1,30,0.4,40,1,70,177,79
5,8,8,19.1,30.1,50,1,60,0.1,0,1,80,200,91
6,7,8,22,28.5,40,1.5,45,0.5,0,1,60,177,55
6,8,7,22.7,33.2,50,2.5,30,0.3,40,1,70,190,57
4,8,9,18.8,29.8,35,2,30,0.4,40,0,70,177,29
4,8,8,21.6,29,40,1,90,0.3,0,0,60,177,20
5,7,8,24.6,32.5,50,1.5,90,0.3,20,0,70,165,51
7,8,7,16.7,35.4,50,3,45,0.5,20,0,80,177,92
6,7,7,24.1,28.9,35,1,75,0.5,0,2,60,190,65
5,8,9,24.1,31.8,40,1,60,0.4,30,0,80,200,32
5,6,6,24.8,25.2,30,2,90,0.2,30,1,70,165,35
4,7,9,19.4,29.1,35,1,30,0.4,0,1,70,200,64
5,7,6,24,36.8,30,1,90,0.2,40,0,70,190,91
5,6,7,21.1,31.5,50,1,15,0.5,0,1,70,200,51
8,7,6,19.5,31.3,50,2,90,0.2,30,2,60,165,12
8,8,7,17.9,30.9,30,2.5,75,0.1,20,2,60,190,90
6,9,8,23.3,27,50,2,90,0.2,40,0,70,190,76
8,8,8,20.8,29.4,50,2,75,0.1,40,2,60,190,54
7,7,7,19.9,28,35,1.5,90,0.5,0,1,70,190,85
7,8,7,23.5,31.2,45,3,30,0.3,0,2,70,177,55
7,8,7,21.3,26.1,45,3,45,0.5,30,2,70,200,13
6,8,9,19.8,29.9,50,1,75,0.4,20,1,70,165,61
5,7,8,22.3,26.1,30,3,30,0.3,20,0,60,200,3
7,7,7,20.9,28.2,45,1,60,0.2,30,1,80,165,81
5,7,7,16.3,28.7,35,2.5,30,0.4,0,2,80,200,59
8,7,8,23.8,29.7,30,1,90,0.4,20,2,60,165,38
6,6,7,22.3,36,45,1,45,0.5,30,0,80,200,32
7,7,6,24.4,35.1,40,2,75,0.2,0,1,70,200,12
7,8,7,21.4,29.9,35,3,90,0.3,0,2,70,177,85
5,8,7,18.6,34.6,35,2,90,0.2,30,0,70,177,63
5,9,9,21.4,29.8,45,2,30,0.5,20,1,70,200,62
8,9,7,20.4,35.3,35,2.5,75,0.3,40,2,80,165,88
5,7,7,18.8,28,45,2,75,0.1,20,1,70,200,5
4,7,8,22,29.8,45,3,15,0.3,0,0,80,190,38
6,6,7,21,28.3,35,2.5,30,0.2,0,1,60,200,18
5,6,7,21,31.9,40,1,15,0.1,0,0,70,200,56
6,8,7,20.9,31,45,1.5,30,0.3,20,1,70,177,81
5,8,8,20.1,32.6,40,1.5,30,0.3,20,0,80,165,29
5,7,8,18.8,29.2,50,2.5,60,0.1,0,0,60,190,72
7,9,7,21.2,29.3,30,2.5,45,0.1,40,0,80,165,1
5,6,8,22.1,30.5,50,3,45,0.3,20,0,70,165,58
5,7,8,24,31.9,50,1.5,30,0.3,0,1,60,200,61
7,9,8,19.5,28.6,45,1.5,60,0.2,30,1,60,200,89
5,7,7,24.3,31.1,45,1,15,0.2,30,2,70,177,77
8,7,8,18.8,32.5,35,1,30,0.4,30,2,60,190,20
6,8,9,22.9,31.4,35,1,45,0.5,40,1,70,200,91
6,8,6,21.2,35,45,2.5,60,0.4,20,2,60,177,54
3,7,8,19.5,28.5,30,2.5,15,0.2,20,0,70,177,23
7,8,8,21.3,32.2,45,2.5,60,0.1,30,0,60,200,7
5,7,7,19.5,27.4,40,1,60,0.1,0,0,80,165,36
7,10,7,20.9,26.3,50,1,30,0.1,30,1,80,190,11
5,7,8,21.1,29.6,40,1,30,0.1,30,0,70,165,24
8,7,9,22.4,29.9,30,1,15,0.4,40,2,70,165,55
7,8,7,20.9,29.7,35,1,30,0.2,30,2,80,177,92
5,8,9,23.6,31.1,30,1,90,0.4,0,0,60,200,22
6,6,7,23.4,32.2,35,1.5,45,0.5,0,2,60,200,75
6,9,7,21,32.2,30,3,45,0.4,20,1,80,200,17
7,8,8,21.8,31.3,35,1.5,90,0.2,0,0,80,190,54
4,6,8,20.6,30.6,40,3,30,0.3,0,0,60,200,56
6,8,9,20.8,31.9,35,3,75,0.4,30,0,70,190,59
5,9,8,21.2,29.3,45,1.5,30,0.1,40,1,80,190,6
6,8,9,20.2,31.8,45,3,15,0.5,40,0,80,165,52
6,10,8,23,26.3,45,2.5,45,0.5,20,1,60,190,5
